bird_y, bottom_pipe_y, top_pipe_y, dist
455,544,360,0,0
460,544,360,0,0
451,544,360,0,1
443,544,360,0,0
436,544,360,0,0
430,544,360,0,0
425,544,360,0,0
421,544,360,0,0
418,544,360,0,0
416,544,360,0,0
415,544,360,0,0
415,544,360,0,0
416,544,360,0,0
418,544,360,0,0
421,544,360,0,0
425,544,360,0,0
430,544,360,0,0
436,544,360,0,0
443,544,360,0,0
448,544,360,0,0
454,544,360,0,0
459,544,360,0,0
450,544,360,0,1
442,544,360,0,0
435,544,360,0,0
429,544,360,0,0
424,544,360,0,0
420,544,360,0,0
417,544,360,0,0
415,544,360,0,0
414,544,360,0,0
414,544,360,0,0
415,544,360,0,0
417,544,360,0,0
420,544,360,0,0
424,544,360,0,0
429,564,380,85,0
435,564,380,83,0
442,564,380,81,0
447,564,380,79,0
452,564,380,77,0
458,564,380,75,0
463,564,380,73,0
469,564,380,71,0
475,564,380,69,0
481,564,380,67,0
472,564,380,65,1
464,564,380,63,0
457,564,380,61,0
451,564,380,59,0
446,564,380,57,0
442,564,380,55,0
439,564,380,53,0
437,564,380,51,0
436,564,380,49,0
436,564,380,47,0
437,564,380,45,0
439,564,380,43,0
442,564,380,41,0
446,564,380,39,0
451,564,380,37,0
457,564,380,35,0
464,564,380,33,0
469,564,380,31,0
474,564,380,29,0
480,564,380,27,0
471,564,380,25,1
463,564,380,23,0
456,564,380,21,0
450,564,380,19,0
445,564,380,17,0
441,564,380,15,0
438,564,380,13,0
436,564,380,11,0
435,564,380,9,0
435,564,380,7,0
436,564,380,5,0
438,564,380,3,0
441,564,380,1,0
445,564,380,0,0
450,564,380,0,0
456,564,380,0,0
463,564,380,0,0
468,564,380,0,0
473,564,380,0,0
478,564,380,0,0
484,564,380,0,0
475,564,380,0,1
467,564,380,0,0
460,564,380,0,0
454,564,380,0,0
449,564,380,0,0
445,564,380,0,0
442,564,380,0,0
440,564,380,0,0
439,564,380,0,0
439,564,380,0,0
440,564,380,0,0
442,564,380,0,0
445,564,380,0,0
449,564,380,0,0
454,564,380,0,0
460,564,380,0,0
467,564,380,0,0
472,564,380,0,0
477,564,380,0,0
483,564,380,0,0
488,564,380,0,0
494,564,380,0,0
485,564,380,0,1
477,564,380,0,0
470,564,380,0,0
464,564,380,0,0
459,564,380,0,0
455,564,380,0,0
452,564,380,0,0
450,564,380,0,0
449,564,380,0,0
449,564,380,0,0
450,564,380,0,0
452,564,380,0,0
455,564,380,0,0
459,564,380,0,0
464,564,380,0,0
470,564,380,0,0
477,564,380,0,0
468,564,380,0,1
460,564,380,0,0
453,564,380,0,0
447,564,380,0,0
442,564,380,0,0
438,564,380,0,0
435,564,380,0,0
433,564,380,0,0
432,564,380,0,0
432,564,380,0,0
433,564,380,0,0
435,564,380,0,0
438,564,380,0,0
442,564,380,0,0
447,564,380,0,0
438,564,380,0,1
430,564,380,0,0
423,564,380,0,0
417,564,380,0,0
412,564,380,0,0
408,564,380,0,0
405,564,380,0,0
403,564,380,0,0
402,564,380,0,0
402,564,380,0,0
403,564,380,0,0
405,499,315,103,0
408,499,315,101,0
412,499,315,99,0
417,499,315,97,0
408,499,315,95,1
400,499,315,93,0
393,499,315,91,0
387,499,315,89,0
382,499,315,87,0
378,499,315,85,0
375,499,315,83,0
373,499,315,81,0
372,499,315,79,0
372,499,315,77,0
373,499,315,75,0
375,499,315,73,0
378,499,315,71,0
382,499,315,69,0
387,499,315,67,0
393,499,315,65,0
400,499,315,63,0
405,499,315,61,0
410,499,315,59,0
416,499,315,57,0
407,499,315,55,1
399,499,315,53,0
392,499,315,51,0
386,499,315,49,0
381,499,315,47,0
377,499,315,45,0
374,499,315,43,0
372,499,315,41,0
371,499,315,39,0
371,499,315,37,0
372,499,315,35,0
374,499,315,33,0
377,499,315,31,0
381,499,315,29,0
386,499,315,27,0
392,499,315,25,0
399,499,315,23,0
404,499,315,21,0
409,499,315,19,0
414,499,315,17,0
420,499,315,15,0
426,499,315,13,0
432,499,315,11,0
438,499,315,9,0
444,499,315,7,0
